Season,TeamName,AvgAgeHome,OverallMarketValue,StadiumCapacity
2017,Bayern Munich,26,597950000,75000
2017,Dortmund,25,416730000,81359
2017,Leverkusen,24,222600000,30210
2017,RB Leipzig,23,180130000,42959
2017,Schalke 04,24,179550000,62271
2017,M'gladbach,25,154400000,54014
2017,Wolfsburg,24,124430000,30000
2017,FC Koln,26,118550000,49968
2017,Hoffenheim,24,107330000,30164
2017,Hertha,26,86800000,74475
2017,Mainz,25,71950000,34000
2017,Hamburg,25,71550000,57376
2017,Werder Bremen,26,69450000,42100
2017,Ein Frankfurt,24,67100000,51500
2017,Augsburg,26,63100000,30660
2017,Freiburg,26,57730000,24000
2017,Stuttgart,24,44750000,60449
2017,Hannover,25,43100000,49200
2016,Bayern Munich,25,595400000,75000
2016,Dortmund,24,321550000,81359
2016,Leverkusen,23,244580000,30210
2016,Schalke 04,24,238750000,62271
2016,Wolfsburg,24,225350000,30000
2016,M'gladbach,23,155800000,54014
2016,Hamburg,24,94980000,57376
2016,Mainz,23,85700000,34000
2016,FC Koln,24,77400000,49968
2016,Hoffenheim,24,76550000,30164
2016,Hertha,24,75980000,74475
2016,Werder Bremen,25,75080000,42100
2016,RB Leipzig,23,69180000,42959
2016,Augsburg,25,69000000,30660
2016,Ein Frankfurt,23,66100000,51500
2016,Freiburg,24,40250000,24000
2016,Ingolstadt,24,36680000,15690
2016,Darmstadt,26,32830000,17400
2015,Bayern Munich,25,608500000,75000
2015,Dortmund,24,311600000,81359
2015,Wolfsburg,25,265430000,30000
2015,Schalke 04,24,209350000,62271
2015,Leverkusen,23,200750000,30210
2015,M'gladbach,24,139550000,54014
2015,Hoffenheim,24,111400000,30164
2015,Ein Frankfurt,24,87500000,51500
2015,Stuttgart,24,82600000,60449
2015,Hamburg,25,74080000,57376
2015,Hannover,24,73580000,49200
2015,Hertha,24,72880000,74475
2015,Mainz,24,67550000,34000
2015,Augsburg,25,62500000,30660
2015,Werder Bremen,24,59500000,42100
2015,FC Koln,24,52050000,49968
2015,Ingolstadt,24,24380000,15690
2015,Darmstadt,26,19800000,17400
2014,Bayern Munich,25,564180000,75000
2014,Dortmund,24,329800000,81359
2014,Schalke 04,23,213380000,62271
2014,Wolfsburg,25,176130000,30000
2014,Leverkusen,24,166550000,30210
2014,Hamburg,24,114950000,57376
2014,M'gladbach,25,107330000,54014
2014,Hoffenheim,23,100030000,30164
2014,Stuttgart,24,97900000,60449
2014,Hannover,25,78050000,49200
2014,Mainz,24,76900000,34000
2014,Hertha,25,76480000,74475
2014,Ein Frankfurt,24,73980000,51500
2014,Werder Bremen,23,58580000,42100
2014,Freiburg,24,56900000,24000
2014,FC Koln,24,43330000,49968
2014,Augsburg,25,42430000,30660
2014,Paderborn,25,22450000,15000
2013,Bayern Munich,24,483980000,75000
2013,Dortmund,24,285150000,81359
2013,Schalke 04,24,186950000,62271
2013,Leverkusen,24,141850000,30210
2013,Wolfsburg,24,134730000,30000
2013,Hamburg,24,111700000,57376
2013,Stuttgart,24,100980000,60449
2013,M'gladbach,24,94780000,54014
2013,Ein Frankfurt,24,84930000,51500
2013,Hannover,24,83550000,49200
2013,Hoffenheim,23,77080000,30164
2013,Werder Bremen,23,74450000,42100
2013,Freiburg,23,66630000,24000
2013,Nurnberg,23,48880000,50000
2013,Hertha,25,45950000,74475
2013,Mainz,26,45400000,34000
2013,Augsburg,24,43500000,30660
2013,Braunschweig,25,29600000,23325
2012,Bayern Munich,25,407300000,75000
2012,Dortmund,23,227680000,81359
2012,Schalke 04,24,171000000,62271
2012,Wolfsburg,25,120330000,30000
2012,Leverkusen,23,115900000,30210
2012,Hamburg,24,110600000,57376
2012,Stuttgart,25,102030000,60449
2012,Hannover,25,88000000,49200
2012,Hoffenheim,23,85030000,30164
2012,M'gladbach,24,81000000,54014
2012,Werder Bremen,23,79200000,42100
2012,Ein Frankfurt,24,51200000,51500
2012,Mainz,26,50950000,34000
2012,Augsburg,25,47000000,30660
2012,Freiburg,23,45450000,24000
2012,Nurnberg,23,42650000,50000
2012,Greuther Furth,24,34080000,18000
2012,Fortuna Dusseldorf,25,31750000,54600
2011,Bayern Munich,25,335600000,75000
2011,Dortmund,24,158200000,81359
2011,Leverkusen,23,151100000,30210
2011,Schalke 04,24,136730000,62271
2011,Werder Bremen,23,125350000,42100
2011,Wolfsburg,25,122000000,30000
2011,Hamburg,23,103200000,57376
2011,Stuttgart,24,101880000,60449
2011,Hoffenheim,23,93600000,30164
2011,FC Koln,24,69290000,49968
2011,Hannover,25,68850000,49200
2011,M'gladbach,23,59080000,54014
2011,Freiburg,24,57400000,24000
2011,Mainz,25,55100000,34000
2011,Hertha,24,50350000,74475
2011,Kaiserslautern,23,50050000,49780
2011,Nurnberg,23,43180000,50000
2011,Augsburg,25,34980000,30660
2010,Bayern Munich,25,284500000,75000
2010,Wolfsburg,25,210730000,30000
2010,Leverkusen,24,146650000,30210
2010,Werder Bremen,24,146550000,42100
2010,Schalke 04,24,139650000,62271
2010,Hamburg,25,132230000,57376
2010,Dortmund,24,114650000,81359
2010,Stuttgart,24,106650000,60449
2010,Hoffenheim,23,98350000,30164
2010,M'gladbach,25,69300000,54014
2010,FC Koln,24,62480000,49968
2010,Ein Frankfurt,24,56600000,51500
2010,Mainz,26,45550000,34000
2010,Hannover,25,44630000,49200
2010,Freiburg,24,42800000,24000
2010,Nurnberg,24,38980000,50000
2010,Kaiserslautern,24,37230000,49780
2010,St Pauli,26,29900000,29546
2009,Bayern Munich,25,283250000,75000
2009,Wolfsburg,25,155880000,30000
2009,Hamburg,24,145930000,57376
2009,Werder Bremen,23,134000000,42100
2009,Stuttgart,24,125000000,60449
2009,Schalke 04,23,113550000,62271
2009,Leverkusen,24,109050000,30210
2009,Hoffenheim,22,90630000,30164
2009,Dortmund,23,80450000,81359
2009,Hertha,24,76100000,74475
2009,FC Koln,24,72230000,49968
2009,Hannover,25,66880000,49200
2009,Ein Frankfurt,25,62000000,51500
2009,M'gladbach,25,45800000,54014
2009,Bochum,26,44550000,29299
2009,Nurnberg,24,42080000,50000
2009,Mainz,25,40450000,34000
2009,Freiburg,24,31580000,24000
2008,Bayern Munich,26,238900000,75000
2008,Werder Bremen,23,142450000,42100
2008,Schalke 04,25,128000000,62271
2008,Hamburg,25,110300000,57376
2008,Leverkusen,25,97700000,30210
2008,Dortmund,24,94180000,81359
2008,Stuttgart,25,93400000,60449
2008,Wolfsburg,24,84550000,30000
2008,Hertha,24,74800000,74475
2008,Hannover,26,65450000,49200
2008,Ein Frankfurt,25,63050000,51500
2008,Bochum,26,45800000,29299
2008,Hoffenheim,23,44200000,30164
2008,M'gladbach,25,40250000,54014
2008,Karlsruhe,26,38850000,29699
2008,FC Koln,26,34150000,49968
2008,Bielefeld,26,30000000,26515
2008,Cottbus,26,29450000,22528
2007,Bayern Munich,25,222930000,75000
2007,Werder Bremen,24,129030000,42100
2007,Stuttgart,24,115800000,60449
2007,Schalke 04,26,106900000,62271
2007,Hamburg,23,94750000,57376
2007,Dortmund,25,81350000,81359
2007,Nurnberg,25,70950000,50000
2007,Leverkusen,23,67720000,30210
2007,Hannover,27,61450000,49200
2007,Wolfsburg,25,57450000,30000
2007,Ein Frankfurt,24,54180000,51500
2007,Hertha,24,48700000,74475
2007,Bochum,26,39050000,29299
2007,Bielefeld,26,34050000,26515
2007,Duisburg,26,33630000,31514
2007,Karlsruhe,25,27500000,29699
2007,Hansa Rostock,25,23950000,29000
2007,Cottbus,25,21250000,22528
2006,Bayern Munich,26,166980000,75000
2006,Werder Bremen,24,128680000,42100
2006,Hamburg,24,116430000,57376
2006,Schalke 04,24,87430000,62271
2006,Dortmund,23,79300000,81359
2006,Stuttgart,25,64630000,60449
2006,Wolfsburg,26,64050000,30000
2006,Leverkusen,24,63080000,30210
2006,Hertha,24,57880000,74475
2006,Ein Frankfurt,25,51830000,51500
2006,Nurnberg,25,49150000,50000
2006,M'gladbach,24,48350000,54014
2006,Hannover,25,40350000,49200
2006,Mainz,25,35850000,34000
2006,Bochum,26,30850000,29299
2006,Bielefeld,26,30550000,26515
2006,Aachen,25,23950000,32960
2006,Cottbus,25,17530000,22528
2005,Bayern Munich,27,171500000,75000
2005,Werder Bremen,24,93800000,42100
2005,Schalke 04,24,87900000,62271
2005,Leverkusen,24,80630000,30210
2005,Stuttgart,26,79650000,60449
2005,Hamburg,24,73600000,57376
2005,Hertha,25,69650000,74475
2005,Dortmund,23,67700000,81359
2005,Wolfsburg,27,66050000,30000
2005,M'gladbach,26,50250000,54014
2005,FC Koln,26,48830000,49968
2005,Hannover,25,44000000,49200
2005,Nurnberg,24,37250000,50000
2005,Ein Frankfurt,25,25600000,51500
2005,Kaiserslautern,25,23230000,49780
2005,Duisburg,27,22500000,31514
2005,Bielefeld,26,21700000,26515
2005,Mainz,25,15200000,34000
2017,Union Berlin,26,20050000,47728
2017,Braunschweig,25,18300000,47728
2017,Nurnberg,25,16350000,47728
2017,Kaiserslautern,23,16280000,47728
2017,Bochum,24,16200000,47728
2017,St Pauli,26,16100000,47728
2017,Darmstadt,25,15630000,47728
2017,Greuther Furth,24,15430000,47728
2017,Bielefeld,26,14080000,47728
2017,Heidenheim,25,13900000,47728
2017,Fortuna Dusseldorf,25,13030000,47728
2017,Dresden,25,12680000,47728
2017,Sandhausen,26,11180000,47728
2017,Erzgebirge Aue,26,10950000,47728
2017,Duisburg,26,9250000,47728
2017,Kiel,25,8300000,47728
2017,Regensburg,25,6250000,47728
2017,Ingolstadt,25,26230000,47728
2016,Stuttgart,24,52380000,47728
2016,Hannover,23,40600000,47728
2016,Munich 1860,24,25350000,47728
2016,Nurnberg,24,22100000,47728
2016,St Pauli,24,21830000,47728
2016,Union Berlin,25,20630000,47728
2016,Kaiserslautern,23,20400000,47728
2016,Karlsruhe,23,18800000,47728
2016,Fortuna Dusseldorf,24,18700000,47728
2016,Braunschweig,25,18650000,47728
2016,Greuther Furth,24,17300000,47728
2016,Bochum,22,15180000,47728
2016,Bielefeld,25,14050000,47728
2016,Heidenheim,23,13050000,47728
2016,Sandhausen,25,12350000,47728
2016,Dresden,24,9650000,47728
2016,Wurzburger Kickers,26,9500000,47728
2016,Erzgebirge Aue,25,8480000,47728
2015,RB Leipzig,22,35300000,47728
2015,Freiburg,23,31100000,47728
2015,Paderborn,25,24730000,47728
2015,Nurnberg,25,24650000,47728
2015,Fortuna Dusseldorf,25,23580000,47728
2015,Greuther Furth,24,20400000,47728
2015,Munich 1860,24,19700000,47728
2015,Union Berlin,25,19150000,47728
2015,Kaiserslautern,23,18450000,47728
2015,Karlsruhe,24,16630000,47728
2015,Braunschweig,24,16180000,47728
2015,St Pauli,23,15400000,47728
2015,Frankfurt FSV,24,14200000,47728
2015,Duisburg,25,13950000,47728
2015,Bochum,24,13300000,47728
2015,Heidenheim,24,12780000,47728
2015,Bielefeld,25,12700000,47728
2015,Sandhausen,25,11500000,47728
2014,Nurnberg,23,30950000,47728
2014,Greuther Furth,23,25150000,47728
2014,Fortuna Dusseldorf,24,24730000,47728
2014,RB Leipzig,23,23300000,47728
2014,Kaiserslautern,23,22980000,47728
2014,Munich 1860,24,22450000,47728
2014,St Pauli,24,21100000,47728
2014,Braunschweig,25,19600000,47728
2014,Ingolstadt,24,16530000,47728
2014,Union Berlin,24,15580000,47728
2014,Bochum,24,15200000,47728
2014,Karlsruhe,24,14750000,47728
2014,Frankfurt FSV,25,13550000,47728
2014,Erzgebirge Aue,24,13400000,47728
2014,Darmstadt,25,12430000,47728
2014,Sandhausen,25,12400000,47728
2014,Aalen,25,11580000,47728
2014,Heidenheim,24,9350000,47728
2013,Kaiserslautern,24,32780000,47728
2013,Fortuna Dusseldorf,24,28000000,47728
2013,FC Koln,23,24950000,47728
2013,Greuther Furth,24,21500000,47728
2013,Union Berlin,25,16730000,47728
2013,St Pauli,24,16580000,47728
2013,Munich 1860,25,16250000,47728
2013,Ingolstadt,25,15380000,47728
2013,Frankfurt FSV,24,14700000,47728
2013,Cottbus,24,14650000,47728
2013,Erzgebirge Aue,26,13350000,47728
2013,Bochum,24,13300000,47728
2013,Dresden,25,13300000,47728
2013,Bielefeld,24,12400000,47728
2013,Paderborn,24,12350000,47728
2013,Sandhausen,25,9900000,47728
2013,Karlsruhe,23,9780000,47728
2013,Aalen,26,7850000,47728
2012,Hertha,24,38580000,47728
2012,Kaiserslautern,24,36030000,47728
2012,FC Koln,23,28030000,47728
2012,Munich 1860,25,23850000,47728
2012,Ingolstadt,26,18180000,47728
2012,Dresden,24,17130000,47728
2012,Duisburg,25,16450000,47728
2012,St Pauli,24,15530000,47728
2012,Union Berlin,25,15300000,47728
2012,Bochum,24,15200000,47728
2012,Cottbus,25,14900000,47728
2012,Braunschweig,25,14600000,47728
2012,Erzgebirge Aue,25,14400000,47728
2012,Frankfurt FSV,23,14080000,47728
2012,Paderborn,24,12930000,47728
2012,Sandhausen,26,12900000,47728
2012,Regensburg,24,8950000,47728
2012,Aalen,26,8780000,47728
2011,Ein Frankfurt,24,51400000,47728
2011,St Pauli,25,25600000,47728
2011,Cottbus,24,22550000,47728
2011,Bochum,24,21330000,47728
2011,Fortuna Dusseldorf,24,20080000,47728
2011,Greuther Furth,24,19580000,47728
2011,Munich 1860,24,19500000,47728
2011,Aachen,24,19400000,47728
2011,Ingolstadt,26,18250000,47728
2011,Duisburg,24,17930000,47728
2011,Karlsruhe,25,16700000,47728
2011,Dresden,25,16550000,47728
2011,Frankfurt FSV,24,14850000,47728
2011,Erzgebirge Aue,25,14000000,47728
2011,Hansa Rostock,24,11950000,47728
2011,Union Berlin,24,10800000,47728
2011,Paderborn,24,10680000,47728
2011,Braunschweig,24,8180000,47728
2010,Bochum,25,32200000,47728
2010,Hertha,24,30800000,47728
2010,Augsburg,25,25100000,47728
2010,Greuther Furth,23,23330000,47728
2010,Bielefeld,24,21050000,47728
2010,Munich 1860,22,20930000,47728
2010,Fortuna Dusseldorf,26,19600000,47728
2010,Karlsruhe,24,18930000,47728
2010,Aachen,24,16830000,47728
2010,Cottbus,24,15880000,47728
2010,Duisburg,24,15800000,47728
2010,Union Berlin,24,13500000,47728
2010,Ingolstadt,26,13000000,47728
2010,Oberhausen,25,11650000,47728
2010,Frankfurt FSV,25,11500000,47728
2010,Paderborn,24,11430000,47728
2010,Osnabruck,25,10550000,47728
2010,Erzgebirge Aue,25,10080000,47728
2009,Bielefeld,25,27380000,47728
2009,Duisburg,24,25100000,47728
2009,Kaiserslautern,23,23900000,47728
2009,Cottbus,24,21800000,47728
2009,Munich 1860,24,21700000,47728
2009,Augsburg,25,21330000,47728
2009,Karlsruhe,24,21100000,47728
2009,Hansa Rostock,25,20630000,47728
2009,Aachen,25,20150000,47728
2009,Koblenz,25,18000000,47728
2009,Greuther Furth,24,17050000,47728
2009,St Pauli,26,15750000,47728
2009,Frankfurt FSV,26,13100000,47728
2009,Ahlen,25,12930000,47728
2009,Fortuna Dusseldorf,26,11850000,47728
2009,Paderborn,25,9580000,47728
2009,Union Berlin,25,9480000,47728
2009,Oberhausen,25,8850000,47728
2008,Nurnberg,24,43530000,47728
2008,Mainz,26,26650000,47728
2008,Duisburg,25,25000000,47728
2008,Munich 1860,24,21100000,47728
2008,Freiburg,24,20900000,47728
2008,Hansa Rostock,24,19800000,47728
2008,Kaiserslautern,23,18750000,47728
2008,Augsburg,26,18450000,47728
2008,Greuther Furth,25,16550000,47728
2008,Aachen,26,16380000,47728
2008,Wehen,25,14200000,47728
2008,Koblenz,25,13530000,47728
2008,Osnabruck,25,13030000,47728
2008,St Pauli,25,12230000,47728
2008,Frankfurt FSV,27,9330000,47728
2008,Ingolstadt,26,6050000,47728
2008,Ahlen,26,5980000,47728
2008,Oberhausen,26,5730000,47728
2007,M'gladbach,25,27950000,47728
2007,FC Koln,26,27380000,47728
2007,Mainz,25,24580000,47728
2007,Aachen,26,24400000,47728
2007,Kaiserslautern,23,21180000,47728
2007,Freiburg,23,18080000,47728
2007,Augsburg,26,16850000,47728
2007,Erzgebirge Aue,26,14500000,47728
2007,Koblenz,26,14430000,47728
2007,Paderborn,26,14330000,47728
2007,CZ Jena,24,14080000,47728
2007,Offenbach,26,12950000,47728
2007,Munich 1860,23,12430000,47728
2007,Greuther Furth,23,11850000,47728
2007,Hoffenheim,24,10350000,47728
2007,Wehen,26,10200000,47728
2007,St Pauli,25,6950000,47728
2007,Osnabruck,26,6380000,47728
2006,FC Koln,24,29080000,47728
2006,Kaiserslautern,23,24650000,47728
2006,Duisburg,26,20150000,47728
2006,Freiburg,24,19450000,47728
2006,Karlsruhe,24,15330000,47728
2006,Hansa Rostock,25,14550000,47728
2006,Greuther Furth,24,12780000,47728
2006,CZ Jena,25,12380000,47728
2006,Munich 1860,24,11550000,47728
2006,RW Essen,26,11050000,47728
2006,Burghausen,25,11030000,47728
2006,Erzgebirge Aue,27,10900000,47728
2006,Offenbach,27,10530000,47728
2006,Paderborn,25,10450000,47728
2006,Unterhaching,26,9680000,47728
2006,Braunschweig,26,9550000,47728
2006,Augsburg,27,9100000,47728
2006,Koblenz,26,8290000,47728
2005,Munich 1860,25,22480000,47728
2005,Bochum,25,17830000,47728
2005,Hansa Rostock,25,15800000,47728
2005,Freiburg,24,15150000,47728
2005,Aachen,27,11690000,47728
2005,Dresden,26,10750000,47728
2005,Karlsruhe,25,10000000,47728
2005,Greuther Furth,25,9900000,47728
2005,Saarbrucken,26,8580000,47728
2005,Ahlen,28,8580000,47728
